destination,year,funding
Outer Planets,1996,655.6704
Outer Planets,1997,459.1125
Outer Planets,1998,167.6274
Outer Planets,1999,159.936
Outer Planets,2000,121.9962
Outer Planets,2001,247.818
Outer Planets,2002,160.3701
Outer Planets,2003,156.6615
Outer Planets,2004,118.3307143
Outer Planets,2005,115.506
Outer Planets,2006,162.7677
Outer Planets,2007,217.7364
Outer Planets,2008,219.255
Outer Planets,2009,445.178
Outer Planets,2010,430.6708
Outer Planets,2011,338.3175
Outer Planets,2012,166.1896
Outer Planets,2013,197.3895
Outer Planets,2014,187.5115
Outer Planets,2015,249.639
Outer Planets,2016,342.1875
Outer Planets,2017,459.025
Outer Planets,2018,697.83
Outer Planets,2019,832.2912
Outer Planets,2020,676
Outer Planets,2021,846.4
Outer Planets,2022,741.4
Small Bodies,1960,0
Small Bodies,1961,0
Small Bodies,1962,0
Small Bodies,1963,0
Small Bodies,1964,0
Small Bodies,1965,0
Small Bodies,1966,0
Small Bodies,1967,0
Small Bodies,1968,0
Small Bodies,1969,0
Small Bodies,1970,0
Small Bodies,1971,0
Small Bodies,1972,0
Small Bodies,1973,0
Small Bodies,1974,0
Small Bodies,1975,0
Small Bodies,1976,0
Small Bodies,1977,0
Small Bodies,1978,0
Small Bodies,1979,0
Small Bodies,1980,0
Small Bodies,1981,0
Small Bodies,1982,0
Small Bodies,1983,0
Small Bodies,1984,0
Small Bodies,1985,0
Small Bodies,1986,0
Small Bodies,1987,0
Small Bodies,1988,0
Small Bodies,1989,0
Small Bodies,1990,0
Small Bodies,1991,0
Small Bodies,1992,0
Small Bodies,1993,0
Small Bodies,1994,170.088
Small Bodies,1995,119.988
Small Bodies,1996,151.3222
Small Bodies,1997,187.3179
Small Bodies,1998,221.91
Small Bodies,1999,105.6244
Small Bodies,2000,155.7773
Small Bodies,2001,241.02
Small Bodies,2002,256.2615
Small Bodies,2003,366.279
Small Bodies,2004,414.0864
Small Bodies,2005,437.322
Small Bodies,2006,202.9746
Small Bodies,2007,125.5478
Small Bodies,2008,53.4609
Small Bodies,2009,50.7215
Small Bodies,2010,49.966
Small Bodies,2011,47.9925
Small Bodies,2012,169.4712
Small Bodies,2013,186.417
Small Bodies,2014,251.1861
Small Bodies,2015,283.938
Small Bodies,2016,190.968
Small Bodies,2017,184.5775
Small Bodies,2018,198.765
Small Bodies,2019,413.3754
Small Bodies,2020,498.6
Small Bodies,2021,379.1
Small Bodies,2022,233
