year,destination,funding,missions,cumFunding,SIZE,cumMissions,,destination,funding,missions,cumFunding,SIZE,cumMissions,,destination,funding,missions,cumFunding,SIZE,cumMissions,,destination,funding,missions,cumFunding,SIZE,cumMissions,,destination,funding,missions,cumFunding,SIZE,cumMissions,,destination,funding,missions,cumFunding,SIZE,cumMissions
2010,Moon,263.1944,0,12049.56734,172.1366763,22,,Mars,527.5928,0,22063.52476,315.1932109,16,,Mercury,19.886,0,1361.50238,19.450034,2,,Venus,,0,3645.802296,52.08288994,7,,Outer Planets,430.6708,0,13590.57292,194.1510417,6,,Small Bodies,49.966,0,3309.6675,47.28096429,8
2011,Moon,276.816,1,12326.38334,176.0911906,23,,Mars,652.224,1,22715.74876,324.5106966,17,,Mercury,19.0232,0,1380.52558,19.721794,2,,Venus,,0,3645.802296,52.08288994,7,,Outer Planets,338.3175,1,13928.89042,198.9841489,7,,Small Bodies,47.9925,0,3357.66,47.96657143,8
2012,Moon,198.8884,0,12525.27174,178.9324534,23,,Mars,760.7452,0,23476.49396,335.3784851,17,,Mercury,26.8995,0,1407.42508,20.10607257,2,,Venus,,0,3645.802296,52.08288994,7,,Outer Planets,166.1896,0,14095.08002,201.358286,7,,Small Bodies,169.4712,0,3527.1312,50.38758857,8
2013,Moon,91.014,1,12616.28574,180.2326534,24,,Mars,568.491,1,24044.98496,343.4997851,18,,Mercury,40.9028,0,1448.32788,20.69039829,2,,Venus,,0,3645.802296,52.08288994,7,,Outer Planets,197.3895,0,14292.46952,204.178136,7,,Small Bodies,186.417,0,3713.5482,53.05068857,8
2014,Moon,30.3644,0,12646.65014,180.6664306,24,,Mars,556.6429,0,24601.62786,351.4518266,18,,Mercury,19.173,0,1467.50088,20.96429829,2,,Venus,,0,3645.802296,52.08288994,7,,Outer Planets,187.5115,0,14479.98102,206.8568717,7,,Small Bodies,251.1861,0,3964.7343,56.63906143,8
2015,Moon,0,0,12646.65014,180.6664306,24,,Mars,527.25,0,25128.87786,358.9839694,18,,Mercury,13.8226,0,1481.32348,21.161764,2,,Venus,,0,3645.802296,52.08288994,7,,Outer Planets,249.639,0,14729.62002,210.4231431,7,,Small Bodies,283.938,0,4248.6723,60.69531857,8
2016,Moon,0,0,12646.65014,180.6664306,24,,Mars,662.5845,0,25791.46236,368.4494623,18,,Mercury,6.66,0,1487.98348,21.25690686,2,,Venus,,0,3645.802296,52.08288994,7,,Outer Planets,342.1875,0,15071.80752,215.311536,7,,Small Bodies,190.968,1,4439.6403,63.42343286,9
2017,Moon,0,0,12646.65014,180.6664306,24,,Mars,730.2475,0,26521.70986,378.8815694,18,,Mercury,7.446,0,1495.42948,21.36327829,2,,Venus,,0,3645.802296,52.08288994,7,,Outer Planets,459.025,0,15530.83252,221.869036,7,,Small Bodies,184.5775,0,4624.2178,66.06025429,9
2018,Moon,0,0,12646.65014,180.6664306,24,,Mars,789.915,1,27311.62486,390.1660694,19,,Mercury,0,0,1495.42948,21.36327829,2,,Venus,,0,3645.802296,52.08288994,7,,Outer Planets,697.83,0,16228.66252,231.838036,7,,Small Bodies,198.765,0,4822.9828,68.89975429,9
2019,Moon,192.9906,0,12839.64074,183.4234391,24,,Mars,754.9308,0,28066.55566,400.9507951,19,,Mercury,0,0,1495.42948,21.36327829,2,,Venus,,0,3645.802296,52.08288994,7,,Outer Planets,832.2912,0,17060.95372,243.7279103,7,,Small Bodies,413.3754,0,5236.3582,74.80511714,9
2020,Moon,300,0,13139.64074,187.7091534,24,,Mars,558.3,1,28624.85566,408.9265094,20,,Mercury,0,0,1495.42948,21.36327829,2,,Venus,,0,3645.802296,52.08288994,7,,Outer Planets,676,0,17736.95372,253.3850531,7,,Small Bodies,498.6,0,5734.9582,81.92797429,9
2021,Moon,451.5,0,13591.14074,194.1591534,24,,Mars,540.4,0,29165.25566,416.6465094,20,,Mercury,0,0,1495.42948,21.36327829,2,,Venus,,0,3645.802296,52.08288994,7,,Outer Planets,846.4,0,18583.35372,265.4764817,7,,Small Bodies,379.1,1,6114.0582,87.34368857,10
2022,Moon,517.3,0,14108.44074,201.5491534,24,,Mars,597.2,0,29762.45566,425.177938,,,Mercury,0,0,1495.42948,21.36327829,2,,Venus,,0,3645.802296,52.08288994,7,,Outer Planets,741.4,0,19324.75372,276.0679103,7,,Small Bodies,233,1,6347.0582,90.67226,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,,,,,,,,,,
